Entity,Code,Year,Average 2015,Population (historical estimates),Continent,Average 1985,Year
Argentina,ARG,2015,429.38,43257064,South America,377.66,1995
Australia,AUS,2015,509.22,23820240,Oceania,475.87,1985
Austria,AUT,2015,519.54,8642422,Europe,529.96,1995
Brazil,BRA,2015,408.76,205188208,South America,270.08,1990
Bulgaria,BGR,2015,490.67,7309255,Europe,521.85,1995
Canada,CAN,2015,519.69,35732120,North America,482.16,1985
Chile,CHL,2015,455.97,17870122,South America,332.04,1985
Colombia,COL,2015,413.67,47119728,South America,352.36,1995
Cyprus,CYP,2015,518,1187286,Europe,438.76,1990
Czechia,CZE,2015,516.2,10523801,Europe,543.48,1995
Dominican Republic,DOM,2015,337.71,10405832,North America,344.74,1995
Finland,FIN,2015,531.13,5479457,Europe,458.37,1985
France,FRA,2015,499.18,63809768,Europe,505.94,1985
Germany,DEU,2015,524.26,82073232,Europe,491.27,1985
Greece,GRC,2015,477.87,10806644,Europe,427.36,1990
Hong Kong,HKG,2015,605.4,7399845,Asia,505.88,1985
Hungary,HUN,2015,522.5,9844250,Europe,542.37,1985
Iceland,ISL,2015,511.8,331068,Europe,420.17,1990
Iran,IRN,2015,433.92,81790848,Asia,381.91,1985
Ireland,IRL,2015,535.42,4665764,Europe,478.59,1990
Israel,ISR,2015,514.24,8007777,Asia,492.7,1990
Italy,ITA,2015,500.75,60232908,Europe,458.84,1985
Japan,JPN,2015,590.89,127250936,Asia,565.04,1985
Jordan,JOR,2015,387.01,9494250,Asia,315.31,1990
Latvia,LVA,2015,508.22,1991951,Europe,147.23,1990
Lithuania,LTU,2015,523.24,2963764,Europe,462.74,1995
Luxembourg,LUX,2015,508.88,569415,Europe,439.85,1985
Mexico,MEX,2015,443.36,120149896,North America,363.22,1995
Netherlands,NLD,2015,530.27,17041110,Europe,475.33,1985
New Zealand,NZL,2015,492.69,4590591,Oceania,459.92,1985
Oman,OMN,2015,414.85,4191784,Asia,360.9,1995
Paraguay,PRY,2015,366.83,6177954,South America,353.29,1995
Peru,PER,2015,419.49,30711864,South America,342.03,1995
Portugal,PRT,2015,525.21,10365436,Europe,396.81,1990
Romania,ROU,2015,469.42,19906078,Europe,463.31,1995
Russia,RUS,2015,551.63,144668384,Europe,551.76,1990
Singapore,SGP,2015,619.17,5650020,Asia,497.46,1985
Slovakia,SVK,2015,495.32,5424449,Europe,524.26,1995
Slovenia,SVN,2015,518.04,2080865,Europe,458.32,1990
South Africa,ZAF,2015,374.06,55876504,Africa,349.88,1995
South Korea,KOR,2015,607.23,50994396,Asia,519.99,1985
Spain,ESP,2015,504.83,46431344,Europe,495.49,1990
Sweden,SWE,2015,509.15,9849344,Europe,470.88,1985
Switzerland,CHE,2015,543.83,8281735,Europe,556.52,1990
Taiwan,TWN,2015,597.75,23512136,Asia,571.59,1990
Thailand,THA,2015,440.25,70294408,Asia,472.73,1985
United Kingdom,GBR,2015,515.8,65224368,Europe,511,1990
United States,USA,2015,529.09,324607776,North America,477.74,1985
